experiment,percentDEInCat,term,genes
enriched_vs_control,2.325581395,DNA binding,gene115; gene166; gene172; gene275; gene420; gene424; gene461; gene465; gene539; gene574; gene580; gene714; gene735; gene764; gene822; gene825; gene1011; gene1192; gene1259; gene1279; gene1515; gene1516; gene1517; gene1518; gene1519; gene1546; gene1755; gene1864; gene1866; gene2058; gene2069; gene2249; gene2250; gene2301; gene2427; gene2479; gene2488; gene2510; gene2540; gene2748; gene2776; gene2874; gene2875; gene2884; gene2901; gene2929; gene3117; gene3121; gene3122; gene3127; gene3152; gene3154; gene3246; gene3401; gene3648; gene3666; gene3755; gene3838; gene3839; gene3993; gene3994; gene3997; gene4010; gene4019; gene4020; gene4278; gene4391; gene4453; gene4532; gene4548; gene4606; gene4684; gene4747; gene4845; gene5000; gene5054; gene5061; gene5081; gene5174; gene5234; gene5341; gene5420; gene5466; gene5483; gene5600; gene5601; gene5654; gene5655; gene5656; gene5708; gene5715; gene5739; gene5740; gene5865; gene5928; gene6015; gene6163; gene6236; gene6262; gene6263; gene6264; gene6266; gene6493; gene6609; gene6693; gene6713; gene6714; gene6715; gene6841; gene6871; gene6906; gene6917; gene7120; gene7283; gene7384; gene7385; gene7420; gene7424; gene7429; gene7471; gene7482; gene7535; gene7607; gene7711; gene7746; gene7801; gene7824; gene7825; gene7826; gene7827; gene7847; gene7882; gene7938; gene8046; gene8164; gene8260; gene8325; gene8441; gene8541; gene8642; gene8798; gene8837; gene8960; gene8969; gene8991; gene8992; gene8993; gene8994; gene9101; gene9102; gene9103; gene9111; gene9248; gene9250; gene9252; gene9329; gene9354; gene9418; gene9444; gene9626; gene9644; gene9667; gene9715; gene9773; gene9943; gene9971; gene9999; gene10028; gene10029; gene10031; gene10195; gene10259; gene10445; gene10454; gene10627; gene10768; gene10772; gene10876; gene10922; gene10963; gene11153; gene11162; gene11341; gene11471; gene11513; gene11550; gene11630; gene11754; gene11792; gene11801; gene11830; gene11983; gene12012; gene12042; gene12043; gene12044; gene12087; gene12112; gene12218; gene12219; gene12371; gene12373; gene12407; gene12554; gene12569; gene12775; gene12881; gene12924; gene12949; gene12992; gene13129; gene13134; gene13171; gene13389; gene13405; gene13407; gene13408; gene13472; gene13735; gene13870; gene13897; gene13942; gene14034; gene14035; gene14064; gene14065; gene14232; gene14293; gene14296; gene14392; gene14693; gene14731; gene14809; gene14823; gene14993; gene14995; gene15051; gene15185; gene15240; gene15478; gene15561; gene15642; gene15643; gene15701; gene15706; gene15722; gene15811; gene15824; gene15836; gene15842; gene15873; gene15902; gene15903; gene15904; gene15906; gene16237; gene16508; gene16604; gene16743; gene16744; gene16790; gene17020; gene17021; gene17022; gene17023; gene17154; gene17233; gene17800; gene17855; gene18502; gene18905; gene19011; gene19147; gene19891; gene20480; gene20819; gene22646; gene22765; gene22958; gene23024; gene23058; gene23059; gene23329; gene24473; gene25687; gene25772; gene25803; gene25819; gene25884; gene26009; gene26105; gene26166; gene26194; gene26225; gene26231; gene26463; gene171_5de57afd; gene551_5de57afd; gene823_5de57afd; gene4317; gene10316; gene10830; gene3503; gene18237
enriched_vs_control,20,DNA binding,gene3122; gene11471; gene14173; gene16604; gene26009
enriched_vs_control,20,lipid binding,gene1757; gene3250; gene13135; gene19246; gene22123
enriched_vs_control,20,molecular function regulator activity,gene14; gene294; gene6973; gene12036; gene12955
enriched_vs_control,50,molecular function regulator activity,gene7570; gene9934
enriched_vs_control,50,molecular function regulator activity,gene5187; gene7570
enriched_vs_control,21.42857143,molecular function regulator activity,gene130; gene630; gene5386; gene6262; gene6263; gene6264; gene6266; gene6844; gene11529; gene13044; gene17110; gene20547; gene23054; gene1391; gene662_5de57afd
enriched_vs_control,14.28571429,molecular transducer activity,gene8055; gene8893; gene8935; gene10620; gene10623; gene11896; gene12509; gene12511; gene12512; gene12517; gene13365; gene14942; gene17736; gene17826; gene525_5de57afd
enriched_vs_control,20,RNA binding,gene1156; gene1157; gene9496; gene10921; gene16619
enriched_vs_control,3.529411765,transporter activity,gene4262; gene5346; gene7380; gene11856; gene12514; gene12736; gene17737; gene25582; gene481; gene766; gene1143; gene1253; gene1820; gene3846; gene3847; gene3848; gene4261; gene4263; gene4741; gene5759; gene6248; gene6299; gene6386; gene6387; gene6388; gene6534; gene6535; gene7182; gene7332; gene7379; gene7436; gene7487; gene8051; gene8055; gene8104; gene8120; gene8121; gene8893; gene8894; gene8933; gene8935; gene10364; gene10619; gene10620; gene10621; gene10622; gene10623; gene10624; gene11171; gene11298; gene11896; gene12509; gene12511; gene12512; gene12513; gene12517; gene13365; gene13366; gene13370; gene13371; gene13621; gene14815; gene14942; gene16025; gene16239; gene16240; gene16808; gene16853; gene17738; gene17826; gene17827; gene22729; gene22730; gene22731; gene22732; gene25588; gene25790; gene26311; gene26312; gene26313; gene525_5de57afd; Pver_split_gene_g12735-g12735; Pver_split_gene_g15247-g15247; gene4264; gene6249; gene6250; gene6251; gene11305
enriched_vs_control,33.33333333,transporter activity,gene10340; gene10341; gene10342; gene10343; gene10344; gene10345
enriched_vs_control,25,transporter activity,gene10340; gene10342; gene10343; gene10345
enriched_vs_control,7.01754386,transporter activity,gene82; gene104; gene106; gene393; gene583; gene900; gene901; gene902; gene903; gene904; gene913; gene3663; gene3664; gene3762; gene3913; gene4992; gene5470; gene5899; gene5946; gene5947; gene5949; gene6159; gene6160; gene6161; gene6164; gene6165; gene6168; gene6169; gene6170; gene6171; gene6333; gene6334; gene6335; gene6795; gene7598; gene9266; gene9427; gene11090; gene11260; gene11663; gene11946; gene13585; gene15069; gene15330; gene16518; gene17533; gene18253; gene19903; gene21487; gene21569; gene23196; gene23560; gene24031; gene25941; gene26304; gene26375; gene26581
enriched_vs_control,8.108108108,transporter activity,gene6248; gene7332; gene8055; gene8120; gene8893; gene8933; gene8935; gene10364; gene10619; gene10620; gene10623; gene11896; gene12509; gene12511; gene12512; gene12517; gene13365; gene14942; gene17736; gene17738; gene17826; gene17827; gene525_5de57afd; gene481; gene4261; gene5759; gene7182; gene8051; gene8104; gene8121; gene10621; gene10622; gene11856; gene12513; gene12514; gene17737; gene25582; gene5758
enriched_vs_control,2.272727273,transporter activity,gene88; gene89; gene248; gene255; gene1096; gene2871; gene2872; gene2873; gene3187; gene3387; gene3412; gene3991; gene4061; gene4070; gene4157; gene4165; gene4166; gene4169; gene5841; gene6100; gene6101; gene6365; gene6371; gene6817; gene6818; gene7697; gene8197; gene9099; gene9147; gene9349; gene9450; gene10022; gene12762; gene12763; gene13193; gene13567; gene13846; gene13908; gene14367; gene14804; gene17499; gene17629; gene20229; gene20319; gene23557; gene23612; gene23721; gene23808; gene23814; gene23815; gene23846; gene23914; gene23915; gene23916; gene23993; gene24104; gene24127; gene24151; gene24271; gene24475; gene24628; gene24642; gene24647; gene24809; gene24886; gene25141; gene25292; gene25296; gene25297; gene25434; gene26072; gene26080; gene760_5de57afd; gene249; gene299; gene318; gene416; gene632; gene633; gene660; gene661; gene911; gene963; gene1072; gene1078; gene1206; gene1508; gene1510; gene1511; gene1512; gene1679; gene1828; gene1999; gene2000; gene2235; gene2236; gene2237; gene2267; gene2285; gene2287; gene2288; gene2345; gene2387; gene2619; gene2780; gene2781; gene2902; gene3325; gene3608; gene3636; gene3733; gene3768; gene3769; gene3800; gene3823; gene3933; gene3988; gene3989; gene3990; gene4084; gene4141; gene4292; gene4316; gene4711; gene4712; gene4713; gene4714; gene5742; gene5913; gene5994; gene6009; gene6061; gene6063; gene6086; gene6090; gene6092; gene6292; gene6293; gene6303; gene6310; gene6364; gene6607; gene6608; gene6632; gene6792; gene6815; gene6816; gene6968; gene7099; gene7437; gene7441; gene7615; gene7662; gene7690; gene7723; gene7840; gene7971; gene8158; gene8192; gene8193; gene8369; gene8440; gene8446; gene8767; gene8953; gene9146; gene9244; gene9245; gene9319; gene9321; gene9322; gene9348; gene9448; gene9449; gene9452; gene9886; gene9969; gene10205; gene10206; gene10207; gene10331; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene10434; gene10435; gene10455; gene10562; gene10563; gene10585; gene10601; gene10631; gene10632; gene11117; gene11462; gene11547; gene12082; gene12265; gene12634; gene12801; gene12930; gene13089; gene13090; gene13354; gene13392; gene13505; gene13599; gene14107; gene14249; gene14484; gene14528; gene14743; gene14774; gene14920; gene15038; gene15154; gene15280; gene15816; gene15865; gene16066; gene16164; gene16165; gene16642; gene16644; gene17234; gene17511; gene17733; gene18085; gene18370; gene18470; gene18471; gene18472; gene18473; gene18474; gene18506; gene18787; gene19061; gene19165; gene19167; gene19356; gene19824; gene19977; gene19978; gene20071; gene20281; gene20514; gene21257; gene22816; gene22817; gene22818; gene22935; gene22936; gene22937; gene22938; gene23125; gene23127; gene23128; gene23129; gene23131; gene23132; gene23577; gene23664; gene23671; gene23676; gene23773; gene23805; gene23957; gene23973; gene24009; gene24015; gene24021; gene24049; gene24138; gene24240; gene24474; gene24582; gene24701; gene24703; gene24874; gene24981; gene25032; gene25180; gene25272; gene25275; gene25481; gene25765; gene25895; gene25954; gene26073; gene26126; gene26150; gene26236; gene71_5de57afd; gene247_5de57afd; gene453_5de57afd; gene621_5de57afd; Pver_split_gene_g14591-g14591; gene4709; gene6089; gene6097; gene14248; gene16584; gene11387; gene11501; gene11502; gene11504; gene22322; gene23249; gene23250; gene24714; gene25380
enriched_vs_control,20,transporter activity,gene2345; gene3800; gene10340; gene10341; gene10342; gene10343; gene10344; gene10345; gene22816; gene22817
enriched_vs_control,33.33333333,transporter activity,gene10340; gene10342; gene10343; gene10344; gene10345; gene10341
enriched_vs_control,33.33333333,transporter activity,gene2345; gene10340; gene10343
enriched_vs_control,20,transporter activity,gene277; gene327; gene1594; gene7015; gene12246
